customerID,region,contractLength,weeklyVolume,basePricePerItem,discountRate,finalWeeklyPrice,churned
CUST0000,South,36,102,7.0,0.15,606.9,False
CUST0001,Midwest,24,84,7.5,0.1,567.0,False
CUST0002,Northeast,36,113,8.0,0.15,768.4,False
CUST0003,West,12,31,8.5,0.05,250.325,True
CUST0004,Northeast,6,68,8.0,0.0,544.0,False
CUST0005,South,12,199,7.0,0.15,1184.05,False
CUST0006,South,36,64,7.0,0.1,403.2,False
CUST0007,South,6,82,7.0,0.0,574.0,True
CUST0008,West,6,69,8.5,0.0,586.5,True
CUST0009,Midwest,36,101,7.5,0.15,643.875,False
CUST0010,South,36,17,7.0,0.1,107.10000000000001,False
CUST0011,Midwest,12,115,7.5,0.15,733.125,False
CUST0012,Northeast,24,155,8.0,0.2,992.0,False
CUST0013,West,12,199,8.5,0.15,1437.7749999999999,True
CUST0014,West,6,91,8.5,0.0,773.5,False
CUST0015,West,36,50,8.5,0.1,382.5,False
CUST0016,Northeast,6,98,8.0,0.0,784.0,False
CUST0017,Northeast,24,14,8.0,0.1,100.8,False
CUST0018,Midwest,6,37,7.5,0.0,277.5,True
CUST0019,West,24,160,8.5,0.2,1088.0,False
CUST0020,Northeast,24,181,8.0,0.2,1158.4,False
CUST0021,Northeast,24,140,8.0,0.15,952.0,False
CUST0022,Midwest,24,151,7.5,0.2,906.0,False
CUST0023,Midwest,36,188,7.5,0.2,1128.0,True
CUST0024,South,6,61,7.0,0.0,427.0,True
CUST0025,South,6,152,7.0,0.15,904.4,False
CUST0026,West,6,169,8.5,0.15,1221.0249999999999,False
CUST0027,Midwest,6,71,7.5,0.0,532.5,False
CUST0028,Midwest,36,37,7.5,0.1,249.75,False
CUST0029,West,12,101,8.5,0.15,729.725,False
CUST0030,Midwest,6,138,7.5,0.15,879.75,False
CUST0031,Northeast,24,112,8.0,0.15,761.6,False
CUST0032,South,6,71,7.0,0.0,497.0,True
CUST0033,South,24,127,7.0,0.15,755.65,False
CUST0034,West,6,189,8.5,0.15,1365.5249999999999,False
CUST0035,Midwest,24,139,7.5,0.15,886.125,False
CUST0036,Northeast,6,193,8.0,0.15,1312.3999999999999,False
CUST0037,Midwest,24,138,7.5,0.15,879.75,False
CUST0038,Midwest,6,181,7.5,0.15,1153.875,False
CUST0039,South,24,193,7.0,0.2,1080.8,False
CUST0040,South,12,33,7.0,0.05,219.45,False
CUST0041,South,36,153,7.0,0.2,856.8000000000001,False
CUST0042,West,24,79,8.5,0.1,604.35,False
CUST0043,West,24,99,8.5,0.1,757.35,False
CUST0044,South,36,105,7.0,0.15,624.75,False
CUST0045,South,36,194,7.0,0.2,1086.4,False
CUST0046,South,24,51,7.0,0.1,321.3,False
CUST0047,Northeast,36,69,8.0,0.1,496.8,False
CUST0048,Northeast,36,149,8.0,0.15,1013.1999999999999,True
CUST0049,Northeast,24,156,8.0,0.2,998.4000000000001,False
CUST0050,South,36,161,7.0,0.2,901.6,False
CUST0051,Northeast,36,173,8.0,0.2,1107.2,False
CUST0052,West,12,121,8.5,0.15,874.225,True
CUST0053,West,12,91,8.5,0.05,734.8249999999999,False
CUST0054,South,36,198,7.0,0.2,1108.8,False
CUST0055,Northeast,36,157,8.0,0.2,1004.8000000000001,False
CUST0056,West,24,154,8.5,0.2,1047.2,False
CUST0057,Midwest,24,31,7.5,0.1,209.25,False
CUST0058,Midwest,12,118,7.5,0.15,752.25,False
CUST0059,Northeast,12,106,8.0,0.15,720.8,False
CUST0060,West,6,70,8.5,0.0,595.0,False
CUST0061,West,6,181,8.5,0.15,1307.725,False
CUST0062,Northeast,12,126,8.0,0.15,856.8,False
CUST0063,Northeast,6,55,8.0,0.0,440.0,False
CUST0064,South,36,125,7.0,0.15,743.75,False
CUST0065,West,24,137,8.5,0.15,989.8249999999999,False
CUST0066,Midwest,24,63,7.5,0.1,425.25,True
CUST0067,West,24,95,8.5,0.1,726.75,False
CUST0068,South,24,139,7.0,0.15,827.05,True
CUST0069,Midwest,36,48,7.5,0.1,324.0,False
CUST0070,South,12,108,7.0,0.15,642.6,True
CUST0071,South,6,45,7.0,0.0,315.0,False
CUST0072,Northeast,36,153,8.0,0.2,979.2,False
CUST0073,South,12,60,7.0,0.05,399.0,False
CUST0074,South,12,134,7.0,0.15,797.3,True
CUST0075,Midwest,12,24,7.5,0.05,171.0,False
CUST0076,West,6,17,8.5,0.0,144.5,False
CUST0077,West,12,118,8.5,0.15,852.55,True
CUST0078,Midwest,24,108,7.5,0.15,688.5,False
CUST0079,West,12,167,8.5,0.15,1206.575,True
CUST0080,West,24,28,8.5,0.1,214.20000000000002,True
CUST0081,Northeast,12,32,8.0,0.05,243.2,False
CUST0082,West,6,138,8.5,0.15,997.05,True
CUST0083,Midwest,12,57,7.5,0.05,406.125,True
CUST0084,Northeast,6,138,8.0,0.15,938.4,False
CUST0085,West,12,153,8.5,0.15,1105.425,True
CUST0086,Midwest,6,38,7.5,0.0,285.0,True
CUST0087,West,6,48,8.5,0.0,408.0,True
CUST0088,Midwest,12,110,7.5,0.15,701.25,False
CUST0089,Midwest,36,147,7.5,0.15,937.125,False
CUST0090,Midwest,36,10,7.5,0.1,67.5,False
CUST0091,West,24,11,8.5,0.1,84.15,True
CUST0092,West,36,93,8.5,0.1,711.45,False
CUST0093,Northeast,6,188,8.0,0.15,1278.3999999999999,False
CUST0094,West,24,74,8.5,0.1,566.1,True
CUST0095,West,6,163,8.5,0.15,1177.675,False
CUST0096,Midwest,12,124,7.5,0.15,790.5,False
CUST0097,Northeast,24,166,8.0,0.2,1062.4,True
CUST0098,Northeast,6,173,8.0,0.15,1176.3999999999999,False
CUST0099,Northeast,24,45,8.0,0.1,324.0,False
CUST0100,South,36,161,7.0,0.2,901.6,False
CUST0101,South,6,32,7.0,0.0,224.0,False
CUST0102,Northeast,12,26,8.0,0.05,197.6,False
CUST0103,Northeast,24,28,8.0,0.1,201.6,True
CUST0104,West,6,156,8.5,0.15,1127.1,False
CUST0105,West,36,92,8.5,0.1,703.8000000000001,False
CUST0106,West,6,78,8.5,0.0,663.0,False
CUST0107,West,6,160,8.5,0.15,1156.0,False
CUST0108,South,6,190,7.0,0.15,1130.5,False
CUST0109,Northeast,24,84,8.0,0.1,604.8000000000001,True
CUST0110,West,6,83,8.5,0.0,705.5,False
CUST0111,Midwest,6,177,7.5,0.15,1128.375,True
CUST0112,Midwest,24,131,7.5,0.15,835.125,False
